local 假人信息={
-- {地图ID,x坐标,y坐标,假人ID,假人名称,摊位名称,模型名称}
-- 坐标系为地图坐标,浮动值自行设定

--1001	长安
{1001,361,28,3000001,"无字情书","开局一头猪","鬼潇潇"},
{1001,351,37,3000002,"一艘小纸船。","150高灵项链","剑侠客"},
{1001,351,40,3000003,"素笺淡墨","兔子礼包灵饰","逍遥生"},
{1001,7051,44,3000004,"單人旅途","杂货","骨精灵"},
{1001,351,45,3000005,"天青色等烟雨","杂货摊位","舞天姬"},
{1001,351,47,3000006,"落花人独立","杂货摊位","玄彩娥"},

{1001,362,30,3000008,"思念浊成酒酿","杂货摊位","剑侠客"},
{1001,365,31,3000009,"浮期妄年","BB人在看看","剑侠客"},
{1001,366,32,3000010,"半醉亱未央","贱卖8J隐攻","玄彩娥"},
{1001,356,31,3000011,"梦想者","练手书铁甩了","英女侠"},
{1001,366,36,3000014,"北巷南猫i","练手书铁甩了","玄彩娥"},
{1001,360,38,3000016,"颩と寂寞","上班去了挂机","英女侠"},
{1001,351,32,3000017,"清风笑我","80浪涌女头","玄彩娥"},
{1001,354,35,3000018,"秦桑低绿枝","清仓甩卖杂货","虎头怪"},
{1001,346,35,3000019,"妄醉无凭","56高伤笔套","羽灵神"},
{1001,351,38,3000020,"桃风杏雨","111111111","英女侠"},
{1001,355,39,3000021,"繁花落幕°卖5技能宝宝","杂货摊位6","剑侠客"},
{1001,357,43,3000022,"醉离殇","出售成品宝宝","巨魔王"},
{1001,360,46,3000023,"酒柠","各种杂货书铁","玄彩娥"},
{1001,361,47,3000024,"纯白","111","英女侠"},
{1001,366,50,3000025,"浮生醉清风","夜战套跳楼价","羽灵神"},
{1001,372,49,3000026,"谁予琴乱","杂货摊位","剑侠客"},
{1001,377,47,3000027,"柔情空似水","最后的清理啊","狐美人"},
{1001,378,44,3000028,"過期關系","无敌杂货贱甩","虎头怪"},
{1001,375,42,3000029,"凉薄少女梦亡海","符石卷轴50万","剑侠客"},
{1001,373,39,3000030,"记忆交暖","收任务宝宝","玄彩娥"},
{1001,372,36,3000031,"高级必杀","贱卖7红BB","杀破狼"},
{1001,368,33,3000032,"高级感知","好多套子","英女侠"},
{1001,373,31,3000033,"高级神佑复生","还在观望吗来","龙太子"},
{1001,374,34,3000034,"高级吸血","东西随便处理","巨魔王"},
{1001,378,32,3000035,"高级连击","杂货点化套","狐美人"},
{1001,381,35,3000036,"善恶有报","好东西仅此","玄彩娥"},
{1001,378,36,3000037,"摆摊小号1","杂货装备宝宝","龙太子"},
{1001,384,37,3000038,"哀叹小号2","看上说价就改","骨精灵"},
{1001,343,43,3000039,"摆摊小号3","你看看够低不","羽灵神"},
{1001,340,44,3000040,"摆摊小号4","150鞋子书","骨精灵"},
{1001,337,46,3000041,"摆摊小号5","XX人在看上M","杀破狼"},
{1001,340,48,3000042,"苍井空","代价","神天兵"},
{1001,346,46,3000043,"橘右京","送你八倍镜","羽灵神"},
{1001,357,54,3000044,"程咬金","全部50W","玄彩娥"},
{1001,349,50,3000045,"最高的幸运i","百岁真经","剑侠客"},
{1001,356,49,3000046,"倦与恋","神童杂货店","龙太子"},
{1001,350,52,3000047,"转角预定愛","野鬼卡XXXXXX","神天兵"},
{1001,357,30,3000048,"酒徒醉夢人","破血弱点处理","玄彩娥"},
{1001,361,33,3000049,"残缺の美丽","练手书铁甩","羽灵神"},
{1001,363,34,3000050,"浪漫只怕太慢","就两个LJ","龙太子"},
{1001,359,36,3000051,"梅花疏淡","●送神兽了","骨精灵"},
{1001,364,37,3000053,"懵智","合成7777777","骨精灵"},
{1001,366,35,3000054,"拟墨画扇","合成7777777","神天兵"},
{1001,366,38,3000055,"伴我老","合成7777777","玄彩娥"},
{1001,345,37,3000056,"森树白云","合成7777777","杀破狼"},
{1001,345,45,3000057,"留了背影","处理一线69","杀破狼"},
{1001,344,48,3000058,"浅梦丷墨汐°","人在看上MM","杀破狼"},
{1001,354,51,3000059,"明月夜","好货甩卖速度","杀破狼"},
{1001,358,50,3000060,"青空未雨","130无级别装","杀破狼"},
{1001,379,39,3000061,"千梦","140无级别装","杀破狼"},

{1001,280,238,3000062,"拟墨画扇","合成7777777","神天兵"},
{1001,286,243,3000063,"青空未雨","130无级别装","杀破狼"},
{1001,275,242,3000064,"千梦","140无级别装","杀破狼"},
{1001,268,236,3000065,"转角预定愛","野鬼卡XXXXXX","神天兵"},
{1001,269,244,3000066,"繁花落幕°卖5技能宝宝","杂货摊位6","剑侠客"},
{1001,276,248,3000067,"醉离殇","出售成品宝宝","巨魔王"},
{1001,294,241,3000068,"酒柠","各种杂货书铁","玄彩娥"},
{1001,286,251,3000068,"思念浊成酒酿","杂货摊位","剑侠客"},


--1501	建业城
{1501,34,115,3100010,"半醉亱未央","贱卖8J隐攻","玄彩娥"},
